"taz";"hhlds2015";"transittotal2015";"autototal2015";"hhlds2050";"transittotal2050";"autototal2050"
604.0;218.0;590;1265;921.0;802;1390
615.0;582.0;620;902;651.0;825;999
738.0;180.0;19;789;206.0;126;936
250.0;518.0;286;832;617.0;587;999
820.0;306.0;567;875;312.0;790;1014
506.0;0.0;127;839;0.0;257;962
840.0;329.0;418;841;329.0;673;1009
747.0;0.0;796;1212;0.0;1058;1296
875.0;383.0;147;1079;601.0;338;1146
823.0;5.0;88;957;3.0;179;1017
44.0;245.0;501;1048;283.0;688;1139
210.0;388.0;604;906;418.0;761;1015
3.0;248.0;458;918;286.0;691;1112
901.0;160.0;151;1054;163.0;293;1138
541.0;284.0;426;834;326.0;653;1022
601.0;401.0;631;1276;1162.0;795;1404
636.0;572.0;558;843;590.0;750;1008
520.0;554.0;577;1190;758.0;730;1309
206.0;621.0;90;820;666.0;321;891
769.0;245.0;600;945;256.0;787;1045
606.0;513.0;479;1181;533.0;754;1308
114.0;446.0;478;1132;452.0;656;1158
652.0;0.0;119;1188;0.0;854;1333
389.0;139.0;309;1056;171.0;711;1138
953.0;70.0;912;1229;70.0;1119;1329
30.0;293.0;358;979;298.0;530;1131
838.0;782.0;466;826;782.0;665;1007
914.0;149.0;218;935;216.0;297;1068
632.0;241.0;649;1270;273.0;944;1394
802.0;0.0;728;1189;1.0;912;1299
528.0;161.0;416;843;198.0;635;1028
359.0;652.0;629;872;659.0;841;1030
230.0;732.0;800;1204;1452.0;1017;1311
383.0;946.0;583;901;952.0;816;1016
155.0;502.0;99;784;503.0;202;820
578.0;318.0;702;1190;2807.0;941;1310
136.0;526.0;270;852;582.0;448;1030
85.0;420.0;62;874;422.0;101;867
259.0;690.0;733;1169;754.0;938;1305
131.0;515.0;64;611;575.0;182;698
372.0;594.0;625;1117;604.0;914;1207
255.0;684.0;724;1151;706.0;908;1230
947.0;0.0;812;1234;0.0;1027;1329
167.0;2198.0;313;874;2396.0;482;1016
869.0;199.0;102;1040;1878.0;23;3
586.0;0.0;448;853;0.0;621;1001
360.0;712.0;608;899;720.0;832;1028
895.0;129.0;251;960;133.0;484;1097
45.0;622.0;486;962;831.0;749;1099
151.0;488.0;580;884;526.0;766;1029
591.0;215.0;739;1209;1705.0;929;1327
917.0;1260.0;209;902;1732.0;325;940
448.0;344.0;482;1114;348.0;686;1125
302.0;1878.0;836;1191;2167.0;1067;1251
118.0;338.0;516;884;557.0;752;1023
688.0;57.0;46;814;66.0;172;939
465.0;75.0;335;1132;73.0;259;1158
745.0;0.0;778;1248;0.0;982;1394
894.0;0.0;104;952;5.0;367;1086
382.0;922.0;595;1035;932.0;850;1134
596.0;246.0;780;1271;668.0;983;1366
197.0;548.0;627;1217;594.0;777;1329
600.0;52.0;661;1277;222.0;864;1393
288.0;599.0;511;866;650.0;697;1005
598.0;35.0;712;1277;957.0;927;1374
845.0;841.0;506;853;884.0;696;1006
927.0;1098.0;544;1239;1219.0;922;1374
948.0;0.0;820;1221;2.0;1035;1327
355.0;887.0;687;1093;903.0;871;1143
467.0;133.0;488;1150;171.0;683;1190
595.0;438.0;714;1248;1561.0;923;1356
842.0;728.0;508;840;731.0;697;1011
61.0;866.0;135;993;931.0;632;1101
121.0;282.0;386;889;352.0;574;1031
614.0;180.0;626;901;199.0;829;998
65.0;263.0;294;953;264.0;481;1099
224.0;842.0;537;844;880.0;745;1019
550.0;357.0;68;668;364.0;135;719
430.0;376.0;501;900;478.0;702;999
670.0;491.0;689;954;504.0;904;1011
671.0;419.0;645;1022;432.0;893;1028
